ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|b40c083614de1a1c8c8835d4bb01b370|2025-04-02|05:47:12|1743565632|gas_transport|11.92|1|fraud_Raynor, Feest and Miller|35.219240|-80.402563
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|72058e4d1f897ed44698d1def9168b00|2025-04-02|01:59:07|1743551947|grocery_pos|11.10|1|fraud_Hudson-Ratke|35.273025|-81.000680
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|dbf78d61a2bb1aec3588cbcfe31a624a|2025-04-02|02:12:18|1743552738|gas_transport|296.97|1|fraud_Kutch, Hermiston and Farrell|34.860434|-80.769014
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|5f2e9b2dd18882059ca9a6d62bb74be0|2025-04-02|00:56:15|1743548175|grocery_pos|304.12|1|fraud_Kiehn-Emmerich|36.051741|-80.589747
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|6ec1fd5983ceb7c1496106008fc986b2|2025-04-02|00:08:44|1743545324|misc_net|696.89|1|fraud_Tillman, Fritsch and Schmitt|34.805650|-80.646311
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|494a05c1445474308affe1114e174b3d|2025-04-03|22:41:37|1743712897|shopping_net|1037.80|1|fraud_Kuhic LLC|34.765683|-81.002362
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|519af24ba4beaea6e9c65a47ca3b8ea3|2025-04-03|20:00:19|1743703219|shopping_net|945.18|1|fraud_Heathcote LLC|35.821250|-81.309868
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|b4b085aede71957373a309b04403922f|2025-04-03|22:19:43|1743711583|entertainment|868.55|1|fraud_Cormier, Stracke and Thiel|35.984164|-80.403238
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|b73cfeb28ea5efaacbd7e3fbc1792637|2025-04-03|22:43:49|1743713029|shopping_pos|939.22|1|fraud_Kuhn LLC|35.832598|-80.130981
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|546548f8218395ab46ba18552c29019e|2025-04-03|22:18:53|1743711533|shopping_net|930.17|1|fraud_Schumm PLC|36.391901|-80.759400
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|245b0f707a24804731c003bd2206b86d|2025-04-03|22:26:21|1743711981|shopping_net|813.59|1|fraud_Stanton, Jakubowski and Baumbach|36.255278|-80.647298
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|439023d670c6e7c717d2a3e5294f596c|2025-04-03|23:29:09|1743715749|shopping_net|510.60|1|fraud_Reichert, Shanahan and Hayes|36.369406|-80.640658
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Rockwell|NC|28138|35.5494|-80.4226|10495|Quarry manager|1983-12-27|950105810049|adults_2550_male_urban.json|56daf70967a2fb09aa128b214d952f86|2025-03-06|08:10:37|1741245037|gas_transport|70.52|0|fraud_Brekke and Sons|34.770522|-81.307026
